Loan_ID,Member_ID,Book_ID,Loan_Date,Due_Date,Return_Date,Fine_Amount
91,6307,893,2023-02-03,2023-03-03,2023-03-06,3
92,9626,3562,2022-12-15,2023-01-12,2023-01-23,11
93,1257,2105,2023-01-04,2023-01-27,2023-01-27,0
94,463,1656,2023-08-14,2023-08-29,2023-08-31,2
95,5613,3617,2023-05-09,2023-06-05,2023-06-15,10
96,1189,9468,2022-05-29,2022-06-15,2022-06-16,1
97,4235,5159,2022-09-12,2022-09-30,2022-10-05,5
98,1789,7180,2022-12-02,2022-12-21,2022-12-24,3
99,3733,2074,2023-04-09,2023-04-19,2023-04-19,0
100,7669,2428,2023-08-07,2023-08-17,2023-08-23,6
101,383,2555,2023-01-07,2023-01-18,2023-01-29,11
102,7982,5287,2023-02-27,2023-03-06,2023-03-09,3
103,7165,464,2023-02-10,2023-02-25,2023-03-01,4
104,995,2923,2022-08-07,2022-08-26,2022-09-06,11
105,9303,3526,2023-07-27,2023-08-23,2023-09-01,9
106,3003,8687,2022-09-12,2022-09-27,2022-09-27,0
107,2638,4659,2023-04-26,2023-05-15,2023-05-25,10
108,616,8573,2023-02-27,2023-03-15,2023-03-23,8
109,7795,2717,2023-10-22,2023-11-08,2023-11-16,8
110,5019,5455,2022-09-23,2022-10-07,2022-10-09,2
111,7421,6306,2023-08-28,2023-09-22,2023-10-05,13
112,5019,5503,2023-06-18,2023-06-28,2023-07-10,12
113,9427,6910,2023-12-24,2024-01-21,2024-01-21,0
114,384,7696,2023-04-14,2023-04-21,2023-04-25,4
115,1967,5748,2023-03-06,2023-03-26,2023-03-26,0
116,4240,9685,2023-03-28,2023-04-10,2023-04-11,1
117,2643,1599,2023-10-23,2023-11-05,2023-11-19,14
118,4539,6418,2022-07-21,2022-07-28,2022-08-03,6
119,3994,441,2023-11-18,2023-12-01,2023-12-15,14
120,5336,1029,2022-07-29,2022-08-17,2022-08-21,4
121,5360,979,2022-08-22,2022-08-31,2022-09-11,11
122,4781,1373,2022-05-01,2022-05-27,2022-06-05,9
123,490,8788,2023-09-24,2023-10-19,2023-10-29,10
124,5486,7438,2022-12-18,2022-12-30,2023-01-01,2
125,5928,9046,2023-09-07,2023-09-15,2023-09-24,9
126,9613,8718,2022-06-21,2022-07-19,2022-07-28,9
127,9389,6653,2022-10-05,2022-10-30,2022-11-04,5
128,2134,2686,2022-12-03,2022-12-11,2022-12-22,11
129,6323,3384,2023-10-30,2023-11-07,2023-11-17,10
130,2352,9053,2023-11-10,2023-11-17,2023-11-18,1
131,698,991,2023-04-13,2023-05-13,2023-05-17,4
132,4537,613,2023-10-22,2023-11-10,2023-11-14,4
133,1222,2808,2022-08-14,2022-09-06,2022-09-19,13
134,2417,2562,2022-02-26,2022-03-15,2022-03-23,8
135,6353,1907,2023-05-13,2023-05-26,2023-06-07,12
136,9709,2079,2022-06-25,2022-07-18,2022-07-18,0
137,1004,567,2023-08-08,2023-08-29,2023-09-05,7
138,4703,7338,2023-10-06,2023-10-20,2023-10-23,3
139,5495,5734,2022-02-15,2022-03-13,2022-03-14,1
140,5198,7824,2023-10-21,2023-11-16,2023-11-25,9
141,6630,5738,2023-08-02,2023-08-18,2023-08-23,5
142,4291,888,2022-02-03,2022-02-28,2022-03-10,10
143,8621,1887,2022-01-31,2022-02-17,2022-02-23,6
144,1963,8204,2022-04-16,2022-05-10,2022-05-10,0
145,920,8170,2022-05-31,2022-06-08,2022-06-17,9
146,3572,9651,2023-07-11,2023-08-05,2023-08-05,0
147,8423,8606,2022-05-21,2022-06-09,2022-06-09,0
148,1305,3049,2023-03-05,2023-03-18,2023-03-20,2
149,9159,165,2023-12-06,2023-12-28,2023-12-31,3
150,3642,8279,2022-09-08,2022-09-16,2022-09-25,9
151,5949,4789,2022-09-20,2022-10-18,2022-10-23,5
152,8819,4548,2023-11-27,2023-12-15,2023-12-26,11
153,893,6764,2023-12-06,2023-12-19,2023-12-29,10
154,1477,2696,2022-04-21,2022-04-29,2022-05-04,5
155,2046,2916,2023-11-21,2023-12-14,2023-12-16,2
156,2077,2066,2023-12-29,2024-01-26,2024-01-28,2
157,8159,2984,2023-04-29,2023-05-09,2023-05-13,4
158,9750,8693,2023-08-26,2023-09-16,2023-09-29,13
159,5553,7259,2023-06-30,2023-07-19,2023-07-19,0
160,7831,2245,2022-02-26,2022-03-26,2022-04-05,10
161,3774,7086,2023-05-19,2023-05-31,2023-05-31,0
162,3730,2558,2023-02-04,2023-03-01,2023-03-01,0
163,677,1951,2023-08-29,2023-09-08,2023-09-13,5
164,2441,8255,2022-07-12,2022-07-30,2022-08-11,12
165,3484,7444,2023-02-21,2023-03-02,2023-03-08,6
166,1308,3978,2022-04-19,2022-05-06,2022-05-15,9
167,2854,4408,2022-09-02,2022-09-12,2022-09-16,4
168,7576,8091,2022-05-16,2022-05-25,2022-05-25,0
169,9978,1346,2022-01-22,2022-02-13,2022-02-25,12
170,6153,6967,2022-09-12,2022-09-20,2022-09-30,10
171,6186,3209,2022-02-04,2022-02-12,2022-02-20,8
172,4699,4919,2023-03-06,2023-03-30,2023-03-31,1
173,1500,1511,2022-07-03,2022-07-27,2022-08-01,5
174,6980,3967,2022-02-05,2022-02-21,2022-02-24,3
175,5841,225,2022-11-06,2022-11-24,2022-12-06,12
176,3669,9262,2023-03-16,2023-03-29,2023-04-03,5
177,4460,2079,2022-07-14,2022-08-02,2022-08-16,14
178,8724,9298,2022-12-06,2022-12-25,2022-12-31,6
179,3101,4182,2022-03-08,2022-04-03,2022-04-11,8
180,8739,3663,2022-01-13,2022-02-12,2022-02-23,11
181,6710,5455,2023-06-24,2023-07-19,2023-08-02,14
182,3805,9293,2023-09-01,2023-09-08,2023-09-17,9
183,9597,2822,2022-03-09,2022-04-05,2022-04-09,4
184,7255,6231,2023-11-14,2023-11-23,2023-12-06,13
185,7662,4934,2023-12-09,2023-12-18,2023-12-24,6
186,4471,377,2022-02-06,2022-02-16,2022-02-18,2
187,1047,6395,2022-11-05,2022-12-04,2022-12-09,5
188,8098,5627,2022-03-13,2022-03-28,2022-03-29,1
189,5901,2444,2022-01-11,2022-01-21,2022-01-22,1
190,3562,6621,2022-01-26,2022-02-20,2022-02-25,5
191,7561,9611,2023-07-09,2023-08-06,2023-08-08,2
192,3105,4832,2022-06-21,2022-07-03,2022-07-05,2
193,2646,8624,2023-09-18,2023-10-14,2023-10-22,8
194,2581,2589,2022-08-07,2022-08-25,2022-09-03,9
195,3253,1651,2022-02-27,2022-03-17,2022-03-24,7
196,7155,295,2022-04-21,2022-05-18,2022-06-01,14
197,3752,3971,2023-10-07,2023-11-01,2023-11-05,4
198,2328,2910,2022-01-09,2022-02-01,2022-02-09,8
199,6763,1738,2022-11-01,2022-11-28,2022-12-04,6
200,1294,3187,2022-08-27,2022-09-20,2022-09-22,2
201,1726,7282,2022-04-28,2022-05-27,2022-06-08,12
202,1115,2454,2023-10-06,2023-10-29,2023-11-04,6
203,7598,8382,2022-02-12,2022-03-14,2022-03-16,2
204,153,1000,2023-03-30,2023-04-18,2023-04-27,9
205,9218,5267,2022-10-30,2022-11-17,2022-11-22,5
206,2004,5553,2022-12-23,2023-01-20,2023-01-30,10
207,1616,2070,2023-09-09,2023-10-07,2023-10-21,14
208,778,7028,2022-10-17,2022-11-13,2022-11-25,12
209,4913,5647,2023-06-07,2023-07-07,2023-07-17,10
210,1691,2844,2023-01-28,2023-02-11,2023-02-11,0
211,1274,9832,2022-06-11,2022-07-01,2022-07-09,8
212,2534,6459,2023-01-07,2023-01-14,2023-01-28,14
213,5451,2779,2023-09-12,2023-10-09,2023-10-11,2
214,9793,671,2022-02-05,2022-02-19,2022-02-24,5
215,6904,9431,2023-09-10,2023-09-24,2023-09-29,5
216,2571,7125,2022-11-10,2022-11-21,2022-11-28,7
217,1101,6105,2023-06-10,2023-06-21,2023-06-24,3
218,2306,7632,2022-08-24,2022-08-31,2022-09-03,3
219,6819,5616,2022-08-05,2022-08-26,2022-09-09,14
220,9039,1800,2022-02-10,2022-03-08,2022-03-11,3
221,2780,8760,2022-02-01,2022-02-24,2022-02-25,1
222,1390,5429,2023-09-26,2023-10-25,2023-11-06,12
223,9917,979,2023-07-12,2023-07-25,2023-08-04,10
224,3242,5918,2022-04-04,2022-04-19,2022-04-26,7
225,2364,4806,2023-03-26,2023-04-03,2023-04-09,6
226,2224,4675,2023-10-05,2023-10-13,2023-10-19,6
227,7441,937,2022-07-03,2022-07-25,2022-07-30,5
228,9677,1823,2022-11-27,2022-12-21,2022-12-27,6
229,539,3722,2022-04-18,2022-05-05,2022-05-12,7
230,9795,8080,2023-04-04,2023-05-01,2023-05-02,1
231,4588,6403,2023-09-22,2023-10-13,2023-10-22,9
232,2532,7603,2022-10-23,2022-11-13,2022-11-22,9
233,9861,1084,2022-12-21,2023-01-15,2023-01-16,1
234,9329,6229,2023-08-31,2023-09-07,2023-09-08,1
235,1863,1063,2023-11-23,2023-11-30,2023-12-01,1
236,2762,3546,2022-07-25,2022-08-03,2022-08-05,2
237,2870,2215,2022-09-16,2022-09-24,2022-09-30,6
238,8171,8896,2022-08-02,2022-08-12,2022-08-15,3
239,9850,3087,2022-10-14,2022-11-02,2022-11-05,3
240,5595,5151,2022-07-11,2022-08-02,2022-08-05,3
241,944,9865,2023-11-30,2023-12-17,2023-12-26,9
242,4785,18,2022-08-05,2022-09-02,2022-09-03,1
243,2680,8348,2023-04-22,2023-05-10,2023-05-19,9
244,6264,8148,2023-02-28,2023-03-29,2023-04-07,9
245,1421,1960,2023-08-08,2023-09-02,2023-09-13,11
246,1317,8523,2023-08-05,2023-08-26,2023-08-29,3
247,3191,439,2023-05-21,2023-06-20,2023-06-29,9
248,5237,6988,2022-06-05,2022-06-16,2022-06-17,1
249,2645,6364,2022-08-03,2022-08-28,2022-08-29,1
250,9215,6185,2022-04-22,2022-05-21,2022-05-21,0
251,4371,834,2022-07-17,2022-08-11,2022-08-17,6
252,3182,4175,2023-05-24,2023-06-02,2023-06-12,10
253,6099,8336,2022-10-17,2022-11-11,2022-11-24,13
254,93,1678,2023-01-05,2023-02-02,2023-02-11,9
255,3143,400,2022-04-24,2022-05-20,2022-05-25,5
256,6570,837,2023-10-13,2023-11-04,2023-11-18,14
257,795,2281,2022-02-18,2022-03-17,2022-03-24,7
258,6380,6785,2022-08-30,2022-09-13,2022-09-16,3
259,8822,6241,2022-09-02,2022-09-12,2022-09-19,7
260,7915,3749,2022-07-16,2022-08-05,2022-08-09,4
261,3911,7842,2023-02-18,2023-03-14,2023-03-17,3
262,544,3932,2022-02-26,2022-03-14,2022-03-26,12
263,8294,4107,2022-10-23,2022-11-22,2022-11-24,2
264,4167,6172,2022-01-27,2022-02-10,2022-02-17,7
265,8770,5594,2022-11-15,2022-12-12,2022-12-12,0
266,1312,210,2022-02-03,2022-02-28,2022-03-14,14
267,4049,3881,2023-04-29,2023-05-12,2023-05-15,3
268,9619,821,2023-09-16,2023-10-01,2023-10-11,10
269,9402,6144,2022-11-13,2022-12-03,2022-12-12,9
270,5609,8402,2022-09-24,2022-10-16,2022-10-22,6
271,4729,5691,2023-11-27,2023-12-23,2023-12-27,4
272,3141,4587,2022-04-25,2022-05-07,2022-05-16,9
273,2661,8107,2023-10-02,2023-10-09,2023-10-18,9
274,4346,7427,2022-06-20,2022-06-27,2022-07-06,9
275,9700,2662,2023-07-07,2023-08-02,2023-08-15,13
276,5266,5898,2022-01-12,2022-01-27,2022-01-29,2
277,280,3808,2023-02-23,2023-03-04,2023-03-18,14
278,2316,6694,2022-10-09,2022-10-27,2022-10-29,2
279,319,764,2023-12-25,2024-01-02,2024-01-12,10
280,8696,9147,2022-04-01,2022-04-23,2022-05-05,12
281,7366,2091,2022-08-07,2022-08-27,2022-09-09,13
282,1494,5048,2022-08-21,2022-09-20,2022-09-22,2
283,5289,74,2023-11-23,2023-12-05,2023-12-12,7
284,5397,7670,2022-03-27,2022-04-16,2022-04-20,4
285,9672,3689,2022-10-08,2022-10-15,2022-10-16,1
286,4792,1764,2022-10-24,2022-11-14,2022-11-17,3
287,5220,191,2022-06-03,2022-06-19,2022-06-21,2
288,9743,9889,2023-01-26,2023-02-11,2023-02-17,6
289,5007,7500,2022-05-10,2022-05-28,2022-06-08,11
290,7072,7810,2023-11-24,2023-12-09,2023-12-12,3
291,8469,4498,2023-09-25,2023-10-03,2023-10-14,11
292,1325,6073,2023-02-05,2023-03-07,2023-03-09,2
293,3221,3947,2022-11-14,2022-11-22,2022-11-28,6
294,4755,3283,2023-03-22,2023-03-30,2023-04-10,11
295,1008,6325,2022-09-27,2022-10-12,2022-10-20,8
296,6753,6994,2022-06-09,2022-06-17,2022-06-28,11
297,3220,4967,2022-12-18,2022-12-25,2022-12-31,6
298,5252,5094,2023-11-05,2023-11-17,2023-11-18,1
299,9868,6289,2022-09-13,2022-09-24,2022-10-07,13
300,703,5810,2023-05-17,2023-06-16,2023-06-19,3
301,8077,6906,2022-03-04,2022-03-11,2022-03-11,0
302,808,6742,2023-06-07,2023-07-03,2023-07-07,4
303,1885,1456,2023-12-29,2024-01-22,2024-01-27,5
304,2115,3017,2022-08-09,2022-09-05,2022-09-05,0
305,9374,9301,2023-06-23,2023-07-17,2023-07-30,13
306,8650,60,2022-02-26,2022-03-09,2022-03-11,2
307,6151,2388,2023-06-21,2023-06-30,2023-07-09,9
308,1203,5279,2023-02-05,2023-02-27,2023-03-12,13
309,4220,6378,2022-07-16,2022-08-04,2022-08-04,0
310,5515,7737,2023-08-07,2023-08-31,2023-09-14,14
311,6100,1685,2022-04-16,2022-05-12,2022-05-26,14
312,177,93,2023-12-25,2024-01-16,2024-01-26,10
313,9446,8706,2022-04-04,2022-05-03,2022-05-04,1
314,510,2352,2022-08-21,2022-09-14,2022-09-26,12
315,2157,6480,2023-08-26,2023-09-06,2023-09-09,3
316,386,4540,2023-07-17,2023-08-12,2023-08-15,3
317,2989,1119,2023-03-16,2023-03-30,2023-04-07,8
318,3491,7953,2023-07-11,2023-08-06,2023-08-11,5
319,6207,8904,2023-09-02,2023-09-25,2023-10-03,8
320,5878,8980,2022-07-16,2022-08-12,2022-08-18,6
321,3574,4469,2022-11-21,2022-11-30,2022-12-02,2
322,8895,129,2023-07-08,2023-08-06,2023-08-08,2
323,9286,3333,2022-11-15,2022-12-01,2022-12-15,14
324,2447,6170,2023-09-13,2023-10-05,2023-10-19,14
325,4565,7893,2022-07-07,2022-07-19,2022-07-27,8
326,4746,4801,2022-10-26,2022-11-14,2022-11-14,0
327,9080,7969,2022-06-28,2022-07-10,2022-07-17,7
328,3971,6023,2023-02-26,2023-03-07,2023-03-10,3
329,769,5326,2022-05-30,2022-06-08,2022-06-17,9
330,1689,1382,2023-04-04,2023-04-23,2023-05-06,13
331,5289,1099,2022-07-21,2022-08-07,2022-08-15,8
332,2632,3087,2022-11-20,2022-12-14,2022-12-27,13
333,7440,3963,2022-02-14,2022-03-13,2022-03-27,14
334,2109,6063,2022-12-08,2022-12-22,2022-12-27,5
335,3849,3505,2022-07-09,2022-07-29,2022-08-01,3
336,4899,1464,2023-03-25,2023-04-11,2023-04-11,0
337,5340,448,2022-04-26,2022-05-07,2022-05-20,13
338,3723,9703,2022-08-22,2022-09-06,2022-09-10,4
339,8340,911,2022-09-13,2022-09-29,2022-10-06,7
340,577,3519,2022-12-31,2023-01-12,2023-01-23,11
341,9421,4136,2023-11-20,2023-12-07,2023-12-08,1
342,4918,905,2022-01-31,2022-02-26,2022-03-01,3
343,6188,4603,2022-05-09,2022-06-03,2022-06-11,8
344,3865,8887,2022-09-30,2022-10-17,2022-10-23,6
345,2655,6144,2023-04-24,2023-05-12,2023-05-20,8
346,8064,852,2023-02-10,2023-03-08,2023-03-09,1
347,4895,493,2022-08-13,2022-09-10,2022-09-21,11
348,9521,3849,2023-04-21,2023-05-13,2023-05-21,8
349,5089,1023,2023-11-19,2023-12-03,2023-12-15,12
350,1494,2258,2023-09-11,2023-09-22,2023-10-04,12
351,4675,947,2023-10-08,2023-11-06,2023-11-18,12
352,8386,2349,2022-08-08,2022-08-23,2022-08-31,8
353,6621,1634,2022-02-03,2022-03-03,2022-03-09,6
354,7556,7605,2022-05-31,2022-06-24,2022-06-30,6
355,929,5566,2022-07-21,2022-08-11,2022-08-16,5
356,1264,1813,2023-01-25,2023-02-12,2023-02-13,1
357,4021,9816,2023-12-17,2023-12-24,2024-01-04,11
358,6704,6963,2022-04-23,2022-05-05,2022-05-16,11
359,3148,7311,2023-08-10,2023-09-09,2023-09-13,4
360,7147,7843,2023-12-28,2024-01-18,2024-01-22,4
361,3139,9006,2023-03-18,2023-03-28,2023-04-03,6
362,3225,7959,2023-06-24,2023-07-04,2023-07-10,6
363,4320,7177,2023-11-04,2023-11-18,2023-12-01,13
364,6380,2965,2023-03-27,2023-04-05,2023-04-18,13
365,2723,7965,2022-03-22,2022-04-17,2022-04-19,2
366,7415,9860,2023-10-07,2023-10-28,2023-11-02,5
367,9564,5792,2022-06-23,2022-07-03,2022-07-11,8
368,8057,9700,2022-01-23,2022-01-30,2022-02-07,8
369,8387,6886,2023-01-13,2023-01-23,2023-01-23,0
370,7925,112,2023-04-29,2023-05-16,2023-05-20,4
371,629,3399,2022-08-20,2022-09-16,2022-09-28,12
372,5929,2955,2022-02-12,2022-03-09,2022-03-10,1
373,4886,8054,2023-09-16,2023-10-10,2023-10-14,4
374,3371,9577,2023-02-18,2023-03-08,2023-03-08,0
375,3784,9431,2022-09-15,2022-09-24,2022-09-25,1
376,8514,7855,2023-12-20,2024-01-03,2024-01-05,2
377,6279,6945,2023-10-08,2023-11-04,2023-11-14,10
378,5872,3249,2022-01-18,2022-01-27,2022-02-02,6
379,1565,9879,2023-10-30,2023-11-12,2023-11-24,12
380,5678,217,2022-04-28,2022-05-09,2022-05-18,9
381,4885,6806,2022-09-29,2022-10-12,2022-10-15,3
382,9132,8582,2022-10-27,2022-11-16,2022-11-17,1
383,2387,3423,2023-08-01,2023-08-17,2023-08-28,11
384,1057,2679,2023-04-19,2023-05-16,2023-05-25,9
385,3996,64,2022-08-01,2022-08-20,2022-08-23,3
386,4245,5288,2022-02-04,2022-02-23,2022-02-25,2
387,4378,5179,2023-02-15,2023-02-27,2023-02-28,1
388,2408,4358,2022-06-13,2022-07-05,2022-07-19,14
389,2421,3095,2023-03-19,2023-04-08,2023-04-17,9
390,4681,5456,2022-09-30,2022-10-28,2022-11-05,8
391,809,4996,2022-05-26,2022-06-13,2022-06-17,4
392,3513,7885,2023-08-31,2023-09-24,2023-10-08,14
393,7941,4940,2022-10-02,2022-11-01,2022-11-13,12
394,5763,5504,2023-09-15,2023-10-04,2023-10-17,13
395,8073,598,2022-06-14,2022-07-02,2022-07-05,3
396,8729,1410,2023-03-03,2023-03-10,2023-03-18,8
397,9707,6341,2023-12-20,2024-01-04,2024-01-12,8
398,8402,335,2022-03-14,2022-04-13,2022-04-21,8
399,9871,3142,2022-07-12,2022-08-08,2022-08-10,2
400,2704,1287,2022-03-25,2022-04-08,2022-04-13,5
401,5787,9944,2023-03-12,2023-03-20,2023-03-25,5
402,4541,5907,2022-10-21,2022-11-08,2022-11-17,9
403,8368,8974,2022-01-30,2022-02-09,2022-02-19,10
404,8923,1977,2023-08-09,2023-08-20,2023-08-28,8
405,6230,5053,2023-09-19,2023-10-04,2023-10-07,3
406,7598,155,2022-03-06,2022-04-04,2022-04-04,0
407,5542,8705,2022-11-25,2022-12-18,2022-12-25,7
408,2229,2718,2023-01-09,2023-01-19,2023-01-24,5
409,1635,4692,2022-08-23,2022-09-14,2022-09-27,13
410,6852,9026,2023-02-01,2023-02-08,2023-02-18,10
411,4841,9455,2023-10-12,2023-10-27,2023-11-05,9
412,8119,7791,2022-05-15,2022-06-06,2022-06-19,13
413,9561,1184,2022-03-10,2022-04-04,2022-04-08,4
414,6306,4404,2022-01-16,2022-02-10,2022-02-19,9
415,9099,4048,2023-01-07,2023-01-25,2023-01-25,0
416,8181,9326,2023-04-18,2023-04-28,2023-05-09,11
417,9766,8280,2022-08-05,2022-08-27,2022-09-01,5
418,3353,5916,2022-01-28,2022-02-07,2022-02-13,6
419,348,8251,2022-07-28,2022-08-22,2022-08-25,3
420,1637,408,2022-02-21,2022-03-23,2022-03-27,4
421,2271,6953,2022-08-27,2022-09-26,2022-10-09,13
422,8452,6292,2022-11-26,2022-12-03,2022-12-16,13
423,1701,305,2023-06-18,2023-06-27,2023-07-05,8
424,1162,5729,2022-09-30,2022-10-27,2022-10-27,0
425,1497,1090,2023-06-15,2023-06-23,2023-07-01,8
426,3867,7951,2023-08-16,2023-09-06,2023-09-20,14
427,6559,3575,2022-05-31,2022-06-11,2022-06-23,12
428,345,8662,2022-04-01,2022-04-24,2022-05-07,13
429,5966,5720,2023-07-04,2023-07-31,2023-08-07,7
430,431,1813,2022-05-23,2022-06-16,2022-06-18,2
431,1037,8437,2022-07-12,2022-08-07,2022-08-20,13
432,6815,9200,2023-06-06,2023-06-22,2023-06-25,3
433,7678,6029,2022-05-17,2022-06-12,2022-06-26,14
434,4858,2771,2023-04-25,2023-05-07,2023-05-17,10
435,6241,538,2022-09-25,2022-10-17,2022-10-22,5
436,70,7650,2022-06-29,2022-07-11,2022-07-25,14
437,9986,336,2023-10-27,2023-11-24,2023-11-24,0
438,352,5398,2022-11-18,2022-12-11,2022-12-18,7
439,9510,5612,2023-07-15,2023-08-09,2023-08-10,1
440,3288,1392,2022-10-16,2022-11-11,2022-11-14,3
441,7075,3495,2023-05-01,2023-05-27,2023-06-09,13
442,6973,5431,2023-06-06,2023-06-19,2023-07-01,12
443,3477,515,2023-07-10,2023-08-09,2023-08-12,3
444,8178,2441,2022-06-17,2022-06-25,2022-06-25,0
445,796,50,2023-09-20,2023-09-30,2023-10-01,1
446,8416,9830,2022-07-19,2022-08-15,2022-08-19,4
447,5104,1224,2022-01-03,2022-01-31,2022-02-06,6
448,5509,4969,2022-03-05,2022-04-04,2022-04-09,5
449,7734,135,2023-02-13,2023-03-11,2023-03-21,10
450,6242,8097,2022-10-29,2022-11-27,2022-12-10,13
451,7925,9847,2023-07-31,2023-08-27,2023-08-28,1
